Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,5.788000,5.900000,5.530000,5.616000,5.616000,4640500
2012-01-04,5.642000,5.734000,5.500000,5.542000,5.542000,3150500
2012-01-05,5.552000,5.586000,5.370000,5.424000,5.424000,5027500
2012-01-06,5.440000,5.558000,5.282000,5.382000,5.382000,4931500
2012-01-09,5.400000,5.498000,5.224000,5.450000,5.450000,4485000
2012-01-10,5.488000,5.552000,5.450000,5.524000,5.524000,3359000
2012-01-11,5.524000,5.676000,5.460000,5.646000,5.646000,3361500
2012-01-12,5.696000,5.724000,5.562000,5.650000,5.650000,3646500
2012-01-13,5.680000,5.700000,4.528000,4.558000,4.558000,27502000
2012-01-17,5.324000,5.468000,5.282000,5.320000,5.320000,23258000
2012-01-18,5.338000,5.376000,5.250000,5.362000,5.362000,6301000
2012-01-19,5.438000,5.548000,5.322000,5.352000,5.352000,6231500
2012-01-20,5.380000,5.400000,5.280000,5.320000,5.320000,3311500
2012-01-23,5.362000,5.442000,5.320000,5.354000,5.354000,2973000
2012-01-24,5.326000,5.536000,5.288000,5.484000,5.484000,4290000
2012-01-25,5.454000,5.602000,5.410000,5.594000,5.594000,3056000
2012-01-26,5.614000,5.916000,5.600000,5.788000,5.788000,6355500
2012-01-27,5.700000,5.944000,5.700000,5.866000,5.866000,3742000
2012-01-30,5.898000,5.922000,5.706000,5.914000,5.914000,3645000
2012-01-31,5.980000,6.000000,5.774000,5.814000,5.814000,4782000
2012-02-01,5.814000,5.940000,5.800000,5.916000,5.916000,2616000
2012-02-02,5.944000,6.176000,5.922000,6.050000,6.050000,4028500
2012-02-03,6.082000,6.266000,6.050000,6.230000,6.230000,3822500
2012-02-06,6.220000,6.380000,6.210000,6.360000,6.360000,3260500
2012-02-07,6.360000,6.360000,6.164000,6.320000,6.320000,5108000
2012-02-08,6.320000,6.402000,6.258000,6.386000,6.386000,3118500
2012-02-09,6.400000,6.580000,6.286000,6.516000,6.516000,6385500
2012-02-10,6.452000,6.454000,5.968000,6.220000,6.220000,9371000
2012-02-13,6.310000,6.412000,6.180000,6.298000,6.298000,5789500
2012-02-14,6.348000,6.758000,6.280000,6.634000,6.634000,9054000
2012-02-15,6.620000,6.882000,6.454000,6.720000,6.720000,13809000
2012-02-16,6.700000,6.902000,6.508000,6.836000,6.836000,11098500
2012-02-17,6.798000,6.994000,6.700000,6.994000,6.994000,6883500
2012-02-21,6.974000,6.974000,6.762000,6.900000,6.900000,5679000
2012-02-22,6.900000,6.944000,6.500000,6.844000,6.844000,8273000
2012-02-23,6.798000,6.994000,6.712000,6.906000,6.906000,4102000
2012-02-24,6.846000,6.904000,6.654000,6.750000,6.750000,4799500
2012-02-27,6.682000,6.800000,6.600000,6.724000,6.724000,3030000
2012-02-28,6.728000,6.888000,6.634000,6.762000,6.762000,3061000
2012-02-29,6.762000,6.824000,6.628000,6.682000,6.682000,2678500
2012-03-01,6.702000,6.900000,6.662000,6.882000,6.882000,3517500
2012-03-02,6.880000,6.900000,6.742000,6.808000,6.808000,2750000
2012-03-05,6.870000,6.880000,6.692000,6.754000,6.754000,2335000
2012-03-06,6.650000,6.656000,6.524000,6.622000,6.622000,2869000
2012-03-07,6.624000,6.662000,6.582000,6.624000,6.624000,1824500
2012-03-08,6.622000,6.698000,6.608000,6.614000,6.614000,3166500
2012-03-09,6.640000,7.062000,6.640000,6.948000,6.948000,7767000
2012-03-12,6.938000,7.258000,6.920000,7.202000,7.202000,9816500
2012-03-13,7.302000,7.318000,7.100000,7.218000,7.218000,5008000
2012-03-14,7.200000,7.200000,6.960000,7.058000,7.058000,4257500
2012-03-15,7.056000,7.096000,6.956000,7.000000,7.000000,2858000
2012-03-16,6.980000,7.178000,6.966000,7.064000,7.064000,3646500
2012-03-19,7.052000,7.064000,6.908000,6.996000,6.996000,5078000
2012-03-20,6.996000,7.040000,6.914000,6.992000,6.992000,2835000
2012-03-21,6.988000,7.060000,6.920000,7.030000,7.030000,3036000
2012-03-22,6.994000,7.030000,6.860000,6.880000,6.880000,2612000
2012-03-23,6.852000,6.926000,6.630000,6.816000,6.816000,5853000
2012-03-26,7.118000,7.618000,7.008000,7.480000,7.480000,15702500
2012-03-27,7.432000,7.990000,7.406000,7.588000,7.588000,12696000
2012-03-28,7.556000,7.688000,7.422000,7.570000,7.570000,4775000
2012-03-29,7.638000,7.638000,7.406000,7.466000,7.466000,3982000
2012-03-30,7.504000,7.588000,7.336000,7.448000,7.448000,4432000
2012-04-02,7.466000,7.594000,7.306000,7.316000,7.316000,5143000
2012-04-03,7.340000,7.694000,7.334000,7.602000,7.602000,5490500
2012-04-04,7.054000,7.098000,6.938000,7.000000,7.000000,22409000
2012-04-05,7.020000,7.088000,6.882000,6.896000,6.896000,7547000
2012-04-09,6.820000,6.858000,6.620000,6.630000,6.630000,8278500
2012-04-10,6.630000,6.770000,6.420000,6.492000,6.492000,9238500
2012-04-11,6.648000,6.658000,6.402000,6.618000,6.618000,5527500
2012-04-12,6.754000,6.896000,6.584000,6.688000,6.688000,5169500
2012-04-13,6.788000,6.808000,6.570000,6.718000,6.718000,3248000
2012-04-16,6.682000,6.740000,6.418000,6.450000,6.450000,5498000
2012-04-17,6.486000,6.614000,6.408000,6.448000,6.448000,5577500
2012-04-18,6.418000,6.550000,6.306000,6.532000,6.532000,4115500
2012-04-19,6.550000,6.686000,6.500000,6.632000,6.632000,3874500
2012-04-20,6.628000,6.746000,6.588000,6.632000,6.632000,4109000
2012-04-23,6.572000,6.594000,6.342000,6.388000,6.388000,4454000
2012-04-24,6.364000,6.440000,6.200000,6.364000,6.364000,3372500
2012-04-25,6.414000,6.598000,6.414000,6.582000,6.582000,3561000
2012-04-26,6.592000,6.704000,6.582000,6.698000,6.698000,2126500
2012-04-27,6.720000,6.726000,6.582000,6.668000,6.668000,2955000
2012-04-30,6.654000,6.672000,6.516000,6.626000,6.626000,2069500
2012-05-01,6.626000,6.842000,6.626000,6.756000,6.756000,3295000
2012-05-02,6.700000,6.878000,6.678000,6.788000,6.788000,2486500
2012-05-03,6.782000,6.800000,6.426000,6.492000,6.492000,4206500
2012-05-04,6.464000,6.492000,6.280000,6.366000,6.366000,6237500
2012-05-07,6.392000,6.516000,6.322000,6.494000,6.494000,5790000
2012-05-08,6.500000,6.546000,5.874000,6.038000,6.038000,15486000
2012-05-09,6.060000,6.154000,5.952000,6.012000,6.012000,9739500
2012-05-10,6.594000,6.936000,6.480000,6.592000,6.592000,27781500
2012-05-11,6.498000,6.688000,6.432000,6.450000,6.450000,6106500
2012-05-14,6.384000,6.426000,6.010000,6.012000,6.012000,6904500
2012-05-15,6.052000,6.192000,5.844000,5.886000,5.886000,7928500
2012-05-16,5.916000,6.036000,5.776000,5.836000,5.836000,6285500
2012-05-17,5.860000,5.958000,5.648000,5.714000,5.714000,5745000
2012-05-18,5.674000,5.692000,5.366000,5.512000,5.512000,8082500
2012-05-21,5.516000,5.852000,5.424000,5.754000,5.754000,7376000
2012-05-22,6.020000,6.268000,6.000000,6.160000,6.160000,11831000
2012-05-23,6.112000,6.210000,5.900000,6.204000,6.204000,6102000
2012-05-24,6.250000,6.250000,5.938000,6.056000,6.056000,5378000
2012-05-25,6.032000,6.082000,5.840000,5.962000,5.962000,3785000
2012-05-29,6.002000,6.386000,6.002000,6.338000,6.338000,8250000
