Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,5.420000,5.500000,5.240000,5.260000,4.331697,3645400
2012-01-04,5.260000,5.310000,5.180000,5.280000,4.348167,4294500
2012-01-05,5.270000,5.440000,5.200000,5.370000,4.422285,3358500
2012-01-06,5.450000,5.480000,5.320000,5.430000,4.471695,3603400
2012-01-09,5.450000,5.460000,5.330000,5.360000,4.414049,3448300
2012-01-10,5.400000,5.490000,5.360000,5.420000,4.463459,2373700
2012-01-11,5.410000,5.440000,5.260000,5.390000,4.438754,4954100
2012-01-12,5.380000,5.400000,5.310000,5.390000,4.438754,1843500
2012-01-13,5.350000,5.390000,5.300000,5.380000,4.430520,1520500
2012-01-17,5.400000,5.400000,5.300000,5.310000,4.372871,1306100
2012-01-18,5.310000,5.400000,5.280000,5.400000,4.446990,2497400
2012-01-19,5.400000,5.420000,5.340000,5.350000,4.405813,1593000
2012-01-20,5.360000,5.370000,5.210000,5.250000,4.323462,3155400
2012-01-23,5.260000,5.290000,5.100000,5.130000,4.224640,5362400
2012-01-24,5.150000,5.280000,5.130000,5.270000,4.339931,3499800
2012-01-25,5.270000,5.300000,5.210000,5.250000,4.323462,3395500
2012-01-26,5.280000,5.290000,5.200000,5.260000,4.331697,4310900
2012-01-27,5.160000,5.270000,5.000000,5.210000,4.290521,9297900
2012-01-30,5.130000,5.180000,5.010000,5.010000,4.125817,10120100
2012-01-31,5.060000,5.080000,4.670000,4.690000,3.862293,16477100
2012-02-01,4.710000,4.770000,4.700000,4.740000,3.903468,6607800
2012-02-02,4.750000,4.820000,4.750000,4.790000,3.944643,6329800
2012-02-03,4.930000,4.930000,4.800000,4.830000,3.977585,7292600
2012-02-06,4.900000,4.990000,4.850000,4.940000,4.068170,7589200
2012-02-07,4.920000,5.030000,4.920000,5.000000,4.117585,7361100
2012-02-08,5.030000,5.050000,4.990000,5.040000,4.150523,6399800
2012-02-09,5.080000,5.150000,5.030000,5.110000,4.208169,7560700
2012-02-10,5.110000,5.220000,5.070000,5.210000,4.290521,7430500
2012-02-13,5.310000,5.330000,5.150000,5.200000,4.282286,5338400
2012-02-14,5.200000,5.220000,5.070000,5.150000,4.241109,3227300
2012-02-15,5.180000,5.210000,5.110000,5.130000,4.224640,3310600
2012-02-16,5.120000,5.210000,5.110000,5.190000,4.274050,3809100
2012-02-17,5.200000,5.240000,5.190000,5.190000,4.274050,2116500
2012-02-21,5.230000,5.240000,5.140000,5.160000,4.249346,3491100
2012-02-22,5.160000,5.180000,5.070000,5.080000,4.183464,2898900
2012-02-23,5.090000,5.120000,5.040000,5.080000,4.183464,2544700
2012-02-24,5.080000,5.120000,5.050000,5.070000,4.175229,3100500
2012-02-27,5.040000,5.080000,5.000000,5.000000,4.117585,4080600
2012-02-28,5.010000,5.200000,5.010000,5.180000,4.282947,7418800
2012-02-29,5.150000,5.220000,5.070000,5.070000,4.191996,5907000
2012-03-01,5.100000,5.170000,5.010000,5.030000,4.158925,9793200
2012-03-02,5.010000,5.050000,4.850000,5.000000,4.134120,10956600
2012-03-05,4.970000,4.980000,4.850000,4.870000,4.026631,5638800
2012-03-06,4.860000,4.870000,4.730000,4.740000,3.919144,6219800
2012-03-07,4.800000,4.830000,4.750000,4.790000,3.960486,5444200
2012-03-08,4.830000,4.860000,4.800000,4.810000,3.977023,2862700
2012-03-09,4.840000,4.890000,4.800000,4.890000,4.043168,4670300
2012-03-12,4.890000,4.890000,4.810000,4.810000,3.977023,3651500
2012-03-13,4.840000,4.860000,4.820000,4.840000,4.001828,2071600
